CODE;NAME;CITY;COUNTRY;LATITUDE;LONGITUDE
TUD;Tambacounda Airport;Tambacounda;Senegal;13.736800193786621;-13.65310001373291
IEO;Aioun el Atrouss Airport;Aioun El Atrouss;Mauritania;16.711299896240234;-9.637880325317383
TIY;Tidjikja Airport;Tidjikja;Mauritania;18.570100784301758;-11.423500061035156
KFA;Kiffa Airport;Kiffa;Mauritania;16.59000015258789;-11.406200408935547
EMN;Néma Airport;Nema;Mauritania;16.621999740600586;-7.3165998458862305
KED;Kaédi Airport;Kaedi;Mauritania;16.159500122070312;-13.507599830627441
NKC;Nouakchott International Airport;Nouakschott;Mauritania;18.09819984436035;-15.94849967956543
SEY;Sélibaby Airport;Selibabi;Mauritania;15.179699897766113;-12.207300186157227
ATR;Atar International Airport;Atar;Mauritania;20.506799697875977;-13.04319953918457
NDB;Nouadhibou International Airport;Nouadhibou;Mauritania;20.9330997467041;-17.030000686645508
FIG;Fria Airport;Fira;Guinea;10.350600242615;-13.569199562073
FAA;Faranah Airport;Faranah;Guinea;10.0354995728;-10.7698001862
LEK;Tata Airport;Labe;Guinea;11.326100349426;-12.286800384521
SID;Amílcar Cabral International Airport;Amilcar Cabral;Cape Verde;16.74139976501465;-22.949399948120117
BVC;Rabil Airport;Boa Vista;Cape Verde;16.136499404907227;-22.888900756835938
MMO;Maio Airport;Maio;Cape Verde;15.155900001525879;-23.213699340820312
SNE;Preguiça Airport;Sao Nocolau Island;Cape Verde;16.58839988708496;-24.284700393676758
VXE;São Pedro Airport;Sao Vicente Island;Cape Verde;16.833200454711914;-25.055299758911133
ADD;Addis Ababa Bole International Airport;Addis Ababa;Ethiopia;8.97789001465;38.799301147499996
AMH;Arba Minch Airport;Arba Minch;Ethiopia;6.0393900871276855;37.59049987792969
AXU;Axum Airport;Axum;Ethiopia;14.14680004119873;38.77280044555664
BJR;Bahir Dar Airport;Bahar Dar;Ethiopia;11.608099937438965;37.32160186767578
DIR;Aba Tenna Dejazmach Yilma International Airport;Dire Dawa;Ethiopia;9.624699592590332;41.85419845581055
GMB;Gambella Airport;Gambella;Ethiopia;8.12876033782959;34.5630989074707
GDQ;Gonder Airport;Gondar;Ethiopia;12.51990032196045;37.433998107910156
JIM;Jimma Airport;Jimma;Ethiopia;7.66609001159668;36.81660079956055
LLI;Lalibella Airport;Lalibella;Ethiopia;11.975000381469727;38.97999954223633
MQX;Mekele Airport;Makale;Ethiopia;13.467399597167969;39.53350067138672
ASO;Asosa Airport;Asosa;Ethiopia;10.018500328063965;34.586299896240234
BJM;Bujumbura International Airport;Bujumbura;Burundi;-3.3240199089050293;29.318500518798828
HGA;Egal International Airport;Hargeisa;Somalia;9.518170356750488;44.08879852294922
BBO;Berbera Airport;Berbera;Somalia;10.389200210571289;44.94110107421875
KMU;Kisimayu Airport;Kismayu;Somalia;-0.3773530125617981;42.45920181274414
ALY;El Nouzha Airport;Alexandria;Egypt;31.183900833129883;29.94890022277832
ABS;Abu Simbel Airport;Abu Simbel;Egypt;22.375999450699997;31.611700058
CAI;Cairo International Airport;Cairo;Egypt;30.12190055847168;31.40559959411621
HRG;Hurghada International Airport;Hurghada;Egypt;27.178300857543945;33.799400329589844
EGR;El Gora Airport;El Gorah;Egypt;31.068559;34.129629
LXR;Luxor International Airport;Luxor;Egypt;25.670999527;32.706600189199996
MUH;Mersa Matruh Airport;Mersa-matruh;Egypt;31.3253993988;27.221700668300002
PSD;Port Said Airport;Port Said;Egypt;31.279399871826172;32.2400016784668
SKV;St Catherine International Airport;St. Catherine;Egypt;28.685300827;34.0625
ASW;Aswan International Airport;Aswan;Egypt;23.9643993378;32.8199996948
ELT;El Tor Airport;El-tor;Egypt;28.208999633789062;33.64550018310547
EDL;Eldoret International Airport;Eldoret;Kenya;0.4044579863548279;35.23889923095703
KIS;Kisumu Airport;Kisumu;Kenya;-0.0861390009522438;34.72890090942383
KTL;Kitale Airport;Kitale;Kenya;0.9719889760017395;34.95859909057617
LOK;Lodwar Airport;Lodwar;Kenya;3.1219699382781982;35.608699798583984
LAU;Manda Airstrip;Lamu;Kenya;-2.252419948577881;40.91310119628906
MBA;Mombasa Moi International Airport;Mombasa;Kenya;-4.034830093383789;39.594200134277344
WIL;Nairobi Wilson Airport;Nairobi;Kenya;-1.321720004081726;36.81480026245117
WJR;Wajir Airport;Wajir;Kenya;1.733240008354187;40.09159851074219
GHT;Ghat Airport;Ghat;Libya;25.1455993652;10.142600059500001
AKF;Kufra Airport;Kufra;Libya;24.178699493408203;23.31399917602539
BEN;Benina International Airport;Benghazi;Libya;32.096801757799994;20.2695007324
SEB;Sabha Airport;Sebha;Libya;26.98699951171875;14.47249984741211
TIP;Tripoli International Airport;Tripoli;Libya;32.6635017395;13.1590003967
LTD;Ghadames East Airport;Ghadames;Libya;30.15169906616211;9.715310096740723
GYI;Gisenyi Airport;Gisenyi;Rwanda;-1.6771999597549438;29.258899688720703
KGL;Kigali International Airport;Kigali;Rwanda;-1.9686299562499998;30.1394996643
KME;Kamembe Airport;Kamembe;Rwanda;-2.462239980697632;28.907899856567383
DOG;Dongola Airport;Dongola;Sudan;19.153900146499996;30.430099487299998
ELF;El Fasher Airport;El Fasher;Sudan;13.614899635314941;25.324600219726562
KSL;Kassala Airport;Kassala;Sudan;15.387499809265137;36.328800201416016
EBD;El Obeid Airport;El Obeid;Sudan;13.153200149536133;30.23270034790039
JUB;Juba International Airport;Juba;South Sudan;4.87201023102;31.6011009216
MAK;Malakal Airport;Malakal;Sudan;9.55897045135498;31.65220069885254
KRT;Khartoum International Airport;Khartoum;Sudan;15.589500427246094;32.553199768066406
ARK;Arusha Airport;Arusha;Tanzania;-3.3677899837493896;36.63330078125
DAR;Julius Nyerere International Airport;Dar Es Salaam;Tanzania;-6.87810993195;39.202598571799996
DOD;Dodoma Airport;Dodoma;Tanzania;-6.170440196990967;35.752601623535156
IRI;Iringa Airport;Iringa;Tanzania;-7.668630123138428;35.75210189819336
JRO;Kilimanjaro International Airport;Kilimanjaro;Tanzania;-3.42940998077;37.0745010376
LKY;Lake Manyara Airport;Lake Manyara;Tanzania;-3.376310110092163;35.81829833984375
MYW;Mtwara Airport;Mtwara;Tanzania;-10.339099884033203;40.181800842285156
MWZ;Mwanza Airport;Mwanza;Tanzania;-2.4444899559020996;32.932701110839844
PMA;Pemba Airport;Pemba;Tanzania;-5.257259845733643;39.8114013671875
TGT;Tanga Airport;Tanga;Tanzania;-5.092360019683838;39.07120132446289
ZNZ;Abeid Amani Karume International Airport;Zanzibar;Tanzania;-6.222020149229999;39.224899292
EBB;Entebbe International Airport;Entebbe;Uganda;0.042385999113321304;32.44350051879883
SRT;Soroti Airport;Soroti;Uganda;1.7276899814605713;33.622798919677734
TIA;Tirana International Airport Mother Teresa;Tirana;Albania;41.4146995544;19.7206001282
BOJ;Burgas Airport;Bourgas;Bulgaria;42.56959915161133;27.515199661254883
GOZ;Gorna Oryahovitsa Airport;Gorna Orechovica;Bulgaria;43.15140151977539;25.712900161743164
PDV;Plovdiv International Airport;Plovdiv;Bulgaria;42.067799;24.8508
SOF;Sofia Airport;Sofia;Bulgaria;42.696693420410156;23.411436080932617
VAR;Varna Airport;Varna;Bulgaria;43.232101;27.8251
LCA;Larnaca International Airport;Larnaca;Cyprus;34.875099182128906;33.624900817871094
PFO;Paphos International Airport;Paphos;Cyprus;34.71799850463867;32.48569869995117
AKT;RAF Akrotiri;Akrotiri;Cyprus;34.590401;32.9879
DBV;Dubrovnik Airport;Dubrovnik;Croatia;42.5614013671875;18.268199920654297
OSI;Osijek Airport;Osijek;Croatia;45.46269989013672;18.810199737548828
PUY;Pula Airport;Pula;Croatia;44.89350128173828;13.922200202941895
RJK;Rijeka Airport;Rijeka;Croatia;45.21689987182617;14.570300102233887
SPU;Split Airport;Split;Croatia;43.53889846801758;16.29800033569336
ZAG;Zagreb Airport;Zagreb;Croatia;45.7429008484;16.0687999725
ZAD;Zemunik Airport;Zadar;Croatia;44.108299255371094;15.346699714660645
ALC;Alicante International Airport;Alicante;Spain;38.28219985961914;-0.5581560134887695
LEI;Almería International Airport;Almeria;Spain;36.84389877319336;-2.3701000213623047
OVD;Asturias Airport;Aviles;Spain;43.5635986328125;-6.0346198081970215
ODB;Córdoba Airport;Cordoba;Spain;37.84199905395508;-4.848879814147949
BIO;Bilbao Airport;Bilbao;Spain;43.30110168457031;-2.9106099605560303
BCN;Barcelona International Airport;Barcelona;Spain;41.297100067139;2.0784599781036
BJZ;Badajoz Airport;Badajoz;Spain;38.891300201416016;-6.8213300704956055
LCG;A Coruña Airport;La Coruna;Spain;43.302101135253906;-8.377260208129883
GRO;Girona Airport;Gerona;Spain;41.901000977;2.7605500221
GRX;Federico Garcia Lorca Airport;Granada;Spain;37.18870162963867;-3.777359962463379
IBZ;Ibiza Airport;Ibiza;Spain;38.872898101800004;1.3731199502899998
XRY;Jerez Airport;Jerez;Spain;36.744598388671875;-6.060110092163086
MJV;San Javier Airport;Murcia;Spain;37.775001525878906;-0.8123890161514282
MAD;Adolfo Suárez Madrid–Barajas Airport;Madrid;Spain;40.471926;-3.56264
AGP;Málaga Airport;Malaga;Spain;36.67490005493164;-4.499110221862793
MAH;Menorca Airport;Menorca;Spain;39.86259841918945;4.218649864196777
OZP;Moron Air Base;Sevilla;Spain;37.17490005493164;-5.615940093994141
PNA;Pamplona Airport;Pamplona;Spain;42.77000045776367;-1.6463299989700317
REU;Reus Air Base;Reus;Spain;41.14739990234375;1.1671700477600098
SLM;Salamanca Airport;Salamanca;Spain;40.95209884643555;-5.501989841461182
EAS;San Sebastian Airport;San Sebastian;Spain;43.35649871826172;-1.7906099557876587
SCQ;Santiago de Compostela Airport;Santiago;Spain;42.89630126953125;-8.415140151977539
LEU;Pirineus - la Seu d'Urgel Airport;Seo De Urgel;Spain;42.3386;1.40917
TOJ;Torrejón Airport;Madrid;Spain;40.496700286865234;-3.4458699226379395
VLC;Valencia Airport;Valencia;Spain;39.48929977416992;-0.4816249907016754
VLL;Valladolid Airport;Valladolid;Spain;41.7061004639;-4.85194015503
VIT;Vitoria/Foronda Airport;Vitoria;Spain;42.8828010559082;-2.7244699001312256
VGO;Vigo Airport;Vigo;Spain;42.2318000793457;-8.62677001953125
SDR;Santander Airport;Santander;Spain;43.427101135253906;-3.82000994682312
ZAZ;Zaragoza Air Base;Zaragoza;Spain;41.66619873046875;-1.0415500402450562
SVQ;Sevilla Airport;Sevilla;Spain;37.417999267578125;-5.8931097984313965
CQF;Calais-Dunkerque Airport;Calais;France;50.962100982666016;1.954759955406189
LTQ;Le Touquet-Côte d'Opale Airport;Le Tourquet;France;50.517398834228516;1.6205899715423584
AGF;Agen-La Garenne Airport;Agen;France;44.17470169067383;0.5905560255050659
BOD;Bordeaux-Mérignac Airport;Bordeaux;France;44.828300476100004;-0.715556025505
EGC;Bergerac-Roumanière Airport;Bergerac;France;44.82529830932617;0.5186110138893127
CNG;Cognac-Châteaubernard (BA 709) Air Base;Cognac;France;45.65829849243164;-0.3174999952316284
PIS;Poitiers-Biard Airport;Poitiers;France;46.58769989013672;0.30666598677635193
MCU;Montluçon-Guéret Airport;Montlucon-gueret;France;46.222599029541016;2.363960027694702
LIG;Limoges Airport;Limoges;France;45.86280059814453;1.1794400215148926
NIT;Niort-Souché Airport;Niort;France;46.313477;-0.394529
TLS;Toulouse-Blagnac Airport;Toulouse;France;43.629101;1.36382
PUF;Pau Pyrénées Airport;Pau;France;43.380001068115234;-0.41861099004745483
LDE;Tarbes-Lourdes-Pyrénées Airport;Tarbes;France;43.1786994934082;-0.006438999902456999
ANG;Angoulême-Brie-Champniers Airport;Angouleme;France;45.72919845581055;0.22145600616931915
BVE;Toul Rosières Air Base;Brive;France;48.780001;5.980003
PGX;Périgueux-Bassillac Airport;Perigueux;France;45.19810104370117;0.815555989742279
BIQ;Biarritz-Anglet-Bayonne Airport;Biarritz-bayonne;France;43.4683333;-1.5311111
XAC;Arcachon-La Teste-de-Buch Airport;Arcachon;France;44.596401;-1.11083
LBI;Albi-Le Séquestre Airport;Albi;France;43.91389846801758;2.1130599975585938
DCM;Castres-Mazamet Airport;Castres;France;43.55630111694336;2.289180040359497
RDZ;Rodez-Marcillac Airport;Rodez;France;44.407901763916016;2.4826700687408447
RYN;Royan-Médis Airport;Royan;France;45.62810134887695;-0.9725000262260437
RCO;Rochefort-Saint-Agnant (BA 721) Airport;Rochefort;France;45.88779830932617;-0.9830560088157654
CMR;Colmar-Houssen Airport;Colmar;France;48.109901428222656;7.359010219573975
DLE;Dole-Tavaux Airport;Dole;France;47.042686;5.435061
OBS;Aubenas-Ardèche Méridional Airport;Aubenas-vals-lanas;France;44.5442008972;4.37218999863
LPY;Le Puy-Loudes Airport;Le Puy;France;45.0806999206543;3.762890100479126
XBK;Bourg-Ceyzériat Airport;Bourg;France;46.20090103149414;5.292029857635498
XVF;Villefranche-Tarare Airport;Vilefrance;France;45.919983;4.634931
XMU;Moulins-Montbeugny Airport;Moulins;France;46.53459930419922;3.423719882965088
ETZ;Metz-Nancy-Lorraine Airport;Metz;France;48.9821014404;6.25131988525
BIA;Bastia-Poretta Airport;Bastia;France;42.55270004272461;9.48373031616211
CLY;Calvi-Sainte-Catherine Airport;Calvi;France;42.5244444;8.7930556
FSC;Figari Sud-Corse Airport;Figari;France;41.5005989074707;9.097780227661133
AJA;Ajaccio-Napoléon Bonaparte Airport;Ajaccio;France;41.92359924316406;8.8029203414917
SOZ;Solenzara (BA 126) Air Base;Solenzara;France;41.924400329589844;9.406000137329102
AUF;Auxerre-Branches Airport;Auxerre;France;47.85020065307617;3.497109889984131
CMF;Chambéry-Savoie Airport;Chambery;France;45.638099670410156;5.880229949951172
CFE;Clermont-Ferrand Auvergne Airport;Clermont-Ferrand;France;45.7867012024;3.1691699028
BOU;Bourges Airport;Bourges;France;47.058101654052734;2.3702800273895264
XCD;Chalon-Champforgeuil Airport;Chalon;France;46.82609939575195;4.817629814147949
QNJ;Annemasse Airport;Annemasse;France;46.1920013428;6.268390178680001
LYS;Lyon Saint-Exupéry Airport;Lyon;France;45.7255556;5.0811111
QNX;Mâcon-Charnay Airport;Macon;France;46.295101;4.79577
RNE;Roanne-Renaison Airport;Roanne;France;46.05830001831055;4.001389980316162
NCY;Annecy-Haute-Savoie-Mont Blanc Airport;Annecy;France;45.9308333;6.1063889
GNB;Grenoble-Isère Airport;Grenoble;France;45.36289978027344;5.329370021820068
VAF;Valence-Chabeuil Airport;Valence;France;44.9216;4.9699
VHY;Vichy-Charmeil Airport;Vichy;France;46.169700622558594;3.4037399291992188
AUR;Aurillac Airport;Aurillac;France;44.89139938354492;2.4219400882720947
CHR;Châteauroux-Déols \"Marcel Dassault\" Airport;Chateauroux;France;46.86027778;1.7211111
LYN;Lyon-Bron Airport;Lyon;France;45.72719955444336;4.944270133972168
QXB;Aix-en-Provence (BA 114) Airport;Aix-les-milles;France;43.5056;5.36778
CEQ;Cannes-Mandelieu Airport;Cannes;France;43.54199981689453;6.953479766845703
EBU;Saint-Étienne-Bouthéon Airport;St-Etienne;France;45.54059982299805;4.296390056610107
CCF;Carcassonne Airport;Carcassonne;France;43.215999603271484;2.3063199520111084
MRS;Marseille Provence Airport;Marseille;France;43.439271922;5.22142410278
NCE;Nice-Côte d'Azur Airport;Nice;France;43.6584014893;7.215869903560001
PGF;Perpignan-Rivesaltes (Llabanère) Airport;Perpignan;France;42.74039840698242;2.8706700801849365
CTT;Le Castellet Airport;Le Castellet;France;43.252498626708984;5.785190105438232
MPL;Montpellier-Méditerranée Airport;Montpellier;France;43.57619857788086;3.96301007270813
BZR;Béziers-Vias Airport;Beziers;France;43.32350158691406;3.3538999557495117
AVN;Avignon-Caumont Airport;Avignon;France;43.90729904174805;4.901830196380615
MEN;Mende-Brenoux Airport;Mende;France;44.50210189819336;3.532819986343384
BVA;Paris Beauvais Tillé Airport;Beauvais;France;49.45439910888672;2.1127800941467285
LEH;Le Havre Octeville Airport;Le Havre;France;49.53390121459961;0.08805599808692932
ORE;Orléans-Bricy (BA 123) Air Base;Orleans;France;47.9878005981;1.7605600357100002
XCR;Châlons-Vatry Air Base;Chalons;France;48.776100158691406;4.184490203857422
URO;Rouen Airport;Rouen;France;49.38420104980469;1.1748000383377075
TUF;Tours-Val-de-Loire Airport;Tours;France;47.4322013855;0.727605998516
CET;Cholet Le Pontreau Airport;Cholet;France;47.08209991455078;-0.8770639896392822
LVA;Laval-Entrammes Airport;Laval;France;48.03139877319336;-0.7429860234260559
LBG;Paris-Le Bourget Airport;Paris;France;48.969398498535156;2.441390037536621
CSF;Creil Air Base;Creil;France;49.253501892089844;2.5191400051116943
CDG;Charles de Gaulle International Airport;Paris;France;49.0127983093;2.54999995232
TNF;Toussus-le-Noble Airport;Toussous-le-noble;France;48.75189971923828;2.1061899662017822
ORY;Paris-Orly Airport;Paris;France;48.7233333;2.3794444
POX;Pontoise - Cormeilles-en-Vexin Airport;Pontoise;France;49.0966667;2.0408333
QYR;Troyes-Barberey Airport;Troyes;France;48.32210159301758;4.01669979095459
NVS;Nevers-Fourchambault Airport;Nevers;France;47.002601623535156;3.1133298873901367
LIL;Lille-Lesquin Airport;Lille;France;50.563332;3.086886
BES;Brest Bretagne Airport;Brest;France;48.447898864746094;-4.418540000915527
CER;Cherbourg-Maupertus Airport;Cherbourg;France;49.65010070800781;-1.4702800512313843
DNR;Dinard-Pleurtuit-Saint-Malo Airport;Dinard;France;48.58769989013672;-2.0799601078033447
GFR;Granville Airport;Granville;France;48.88309860229492;-1.564170002937317
DOL;Deauville-Saint-Gatien Airport;Deauville;France;49.3652992249;0.154305994511
LRT;Lorient South Brittany (Bretagne Sud) Airport;Lorient;France;47.76060104370117;-3.440000057220459
EDM;La Roche-sur-Yon Airport;La Roche-sur-yon;France;46.701900482177734;-1.3786300420761108
CFR;Caen-Carpiquet Airport;Caen;France;49.173301696777344;-0.44999998807907104
LME;Le Mans-Arnage Airport;Le Mans;France;47.94860076904297;0.20166699588298798
RNS;Rennes-Saint-Jacques Airport;Rennes;France;48.069499969499994;-1.73478996754
LAI;Lannion-Côte de Granit Airport;Lannion;France;48.754398345947266;-3.4716598987579346
UIP;Quimper-Cornouaille Airport;Quimper;France;47.974998474121094;-4.167789936065674
NTE;Nantes Atlantique Airport;Nantes;France;47.153198242200006;-1.61073005199
SBK;Saint-Brieuc-Armor Airport;St.-brieuc Armor;France;48.5378;-2.85444
MXN;Morlaix-Ploujean Airport;Morlaix;France;48.6031990051;-3.81577992439
VNE;Vannes-Meucon Airport;Vannes;France;47.72330093383789;-2.718559980392456
SNR;Saint-Nazaire-Montoir Airport;St.-nazaire;France;47.3105556;-2.1566667
BSL;EuroAirport Basel-Mulhouse-Freiburg Airport;Mulhouse;France;47.59;7.5291667
DIJ;Dijon-Bourgogne Airport;Dijon;France;47.268901825;5.09000015259
MZM;Metz-Frescaty (BA 128) Air Base;Metz;France;49.07170104980469;6.131669998168945
EPL;Épinal-Mirecourt Airport;Epinal;France;48.32500076293945;6.069980144500732
ENC;Nancy-Essey Airport;Nancy;France;48.692100524902344;6.230460166931152
RHE;Reims-Champagne (BA 112) Air Base;Reims;France;49.310001;4.05
SXB;Strasbourg Airport;Strasbourg;France;48.538299560546875;7.628230094909668
TLN;Toulon-Hyères Airport;Hyeres;France;43.0973014832;6.14602994919
FNI;Nîmes-Arles-Camargue Airport;Nimes;France;43.75740051269531;4.4163498878479
MQC;Miquelon Airport;Miquelon;Saint Pierre and Miquelon;47.095500946;-56.3802986145
FSP;St Pierre Airport;St.-pierre;Saint Pierre and Miquelon;46.762901306152344;-56.173099517822266
PYR;Andravida Air Base;Andravida;Greece;37.9207;21.292601
AGQ;Agrinion Air Base;Agrinion;Greece;38.602001;21.3512001
AXD;Dimokritos Airport;Alexandroupolis;Greece;40.855899810791016;25.956300735473633
VOL;Nea Anchialos Airport;Nea Anghialos;Greece;39.219600677490234;22.794300079345703
JKH;Chios Island National Airport;Chios;Greece;38.34320068359375;26.140600204467773
IOA;Ioannina Airport;Ioannina;Greece;39.6963996887207;20.822500228881836
HER;Heraklion International Nikos Kazantzakis Airport;Heraklion;Greece;35.3396987915;25.180299758900002
KSO;Kastoria National Airport;Kastoria;Greece;40.4463005066;21.2821998596
KIT;Kithira Airport;Kithira;Greece;36.2742996216;23.0170001984
EFL;Kefallinia Airport;Keffallinia;Greece;38.12009811401367;20.500499725341797
KLX;Kalamata Airport;Kalamata;Greece;37.06829833984375;22.02549934387207
KGS;Kos Airport;Kos;Greece;36.79330062866211;27.091699600219727
AOK;Karpathos Airport;Karpathos;Greece;35.4213981628418;27.145999908447266
CFU;Ioannis Kapodistrias International Airport;Kerkyra/corfu;Greece;39.601898193359375;19.911699295043945
